month,aisp,feminicidio,homicidio-doloso,morte-intervencao-policial,homicidio-doloso-transito,homicidio-doloso-prisao,lesao-corporal-morte,latrocinio,tentativa-homicidio,estupro
1,AISP 06-BROTAS,0,2,0,0,0,0,0,0,3
1,AISP 07-RIO VERMELHO,0,1,0,0,0,0,0,0,2
1,AISP 09-BOCA DO RIO,1,0,0,0,0,0,0,0,1
1,AISP 12-ITAPUÃ,0,5,0,0,0,0,0,3,9
1,AISP 15-NORDESTE,0,1,0,0,0,0,0,1,1
1,AISP 16-PITUBA,0,0,0,0,0,0,0,0,2
1,AISP 01-BARRIS,0,6,0,0,0,0,0,2,1
1,AISP 02-LIBERDADE,0,5,0,0,0,0,0,0,1
1,AISP 03-BONFIM,0,7,0,0,0,0,0,2,2
1,AISP 04-SÃO CAETANO,0,15,0,0,0,0,0,2,3
1,AISP 05-PERIPERI,0,16,0,0,0,0,1,3,8
1,AISP 08-CIA,0,3,0,0,0,0,0,0,1
1,AISP 10-PAU DA LIMA,0,9,3,0,0,0,0,0,1
1,AISP 11-TANCREDO NEVES,0,12,0,0,0,0,0,1,12
1,AISP 13-CAJAZEIRAS,0,6,0,0,0,0,0,0,1
2,AISP 06-BROTAS,0,5,0,0,0,0,0,1,2
2,AISP 07-RIO VERMELHO,0,0,0,0,0,0,0,0,3
2,AISP 09-BOCA DO RIO,0,4,0,0,0,0,0,0,0
2,AISP 12-ITAPUÃ,0,12,0,0,0,0,1,0,12
2,AISP 14-BARRA,0,0,0,0,0,0,0,0,1
2,AISP 15-NORDESTE,0,2,0,0,0,0,0,0,1
2,AISP 16-PITUBA,0,0,0,0,0,0,0,0,2
2,AISP 01-BARRIS,0,1,0,0,0,1,0,6,1
2,AISP 02-LIBERDADE,0,6,0,0,0,0,0,0,3
2,AISP 03-BONFIM,0,4,0,0,0,0,0,0,0
2,AISP 04-SÃO CAETANO,0,8,0,0,0,0,1,0,4
2,AISP 05-PERIPERI,0,21,0,0,0,0,0,9,11
2,AISP 08-CIA,0,0,0,0,0,0,0,0,1
2,AISP 10-PAU DA LIMA,0,8,0,0,0,0,0,1,1
2,AISP 11-TANCREDO NEVES,0,12,0,0,1,0,0,6,7
2,AISP 13-CAJAZEIRAS,0,6,1,0,0,0,0,1,5
3,AISP 06-BROTAS,0,1,0,0,0,0,0,3,3
3,AISP 07-RIO VERMELHO,0,2,0,0,0,0,0,0,1
3,AISP 09-BOCA DO RIO,0,3,0,0,0,0,0,1,0
3,AISP 12-ITAPUÃ,0,9,0,0,0,0,0,6,5
3,AISP 14-BARRA,0,0,0,0,0,0,0,0,1
3,AISP 15-NORDESTE,0,1,0,0,0,0,0,0,2
3,AISP 01-BARRIS,0,2,0,0,0,0,0,1,0
3,AISP 02-LIBERDADE,0,7,0,0,0,0,0,0,2
3,AISP 03-BONFIM,0,10,0,0,0,0,0,5,2
3,AISP 04-SÃO CAETANO,0,15,0,0,0,0,0,0,2
3,AISP 05-PERIPERI,0,15,0,0,0,0,0,4,9
3,AISP 08-CIA,0,4,0,0,0,0,0,0,0
3,AISP 10-PAU DA LIMA,0,5,0,0,0,0,0,2,6
3,AISP 11-TANCREDO NEVES,1,27,0,0,0,0,0,3,7
3,AISP 13-CAJAZEIRAS,0,7,0,0,0,0,0,0,1
4,AISP 06-BROTAS,0,6,0,0,0,0,1,2,2
4,AISP 07-RIO VERMELHO,0,1,0,0,0,0,0,0,1
4,AISP 09-BOCA DO RIO,0,8,1,0,0,0,0,1,2
4,AISP 12-ITAPUÃ,0,9,0,0,0,1,0,0,1
4,AISP 15-NORDESTE,0,3,0,0,0,0,0,0,0
4,AISP 01-BARRIS,0,5,0,0,0,0,0,0,0
4,AISP 02-LIBERDADE,0,6,0,0,0,0,0,4,0
4,AISP 03-BONFIM,0,8,0,0,0,0,0,2,1
4,AISP 04-SÃO CAETANO,0,20,0,0,0,0,0,1,2
4,AISP 05-PERIPERI,0,19,0,0,0,0,0,9,8
4,AISP 08-CIA,0,3,0,0,0,0,0,0,0
4,AISP 10-PAU DA LIMA,0,4,0,0,0,0,0,3,4
