month,aisp,furto-veiculo,roubo-comercio,roubo-coletivo,roubo-residencia,roubo-transeunte,roubo-carga,uso-drogas,roubo-veiculo
1,AISP 06-BROTAS,5,4,5,0,195,1,1,31
1,AISP 07-RIO VERMELHO,3,1,3,0,116,0,9,12
1,AISP 09-BOCA DO RIO,2,1,13,0,4,0,0,32
1,AISP 12-ITAPUÃ,14,4,10,0,185,0,4,62
1,AISP 14-BARRA,1,0,1,0,6,0,1,5
1,AISP 15-NORDESTE,0,0,5,0,29,0,0,2
1,AISP 16-PITUBA,1,2,13,0,39,0,5,9
1,AISP 01-BARRIS,7,1,9,0,182,0,7,21
1,AISP 02-LIBERDADE,7,2,1,1,162,0,2,28
1,AISP 03-BONFIM,4,0,11,0,228,1,3,16
1,AISP 04-SÃO CAETANO,6,6,27,2,198,1,1,48
1,AISP 05-PERIPERI,10,1,40,0,139,0,5,38
1,AISP 08-CIA,1,0,7,0,15,1,5,6
1,AISP 10-PAU DA LIMA,7,4,3,0,165,0,5,44
1,AISP 11-TANCREDO NEVES,7,0,35,0,112,0,12,34
1,AISP 13-CAJAZEIRAS,1,0,11,0,99,1,4,29
2,AISP 06-BROTAS,1,3,19,0,215,0,7,25
2,AISP 07-RIO VERMELHO,7,7,1,0,205,0,5,8
2,AISP 09-BOCA DO RIO,7,0,6,0,3,1,0,26
2,AISP 12-ITAPUÃ,16,3,16,1,168,0,6,80
2,AISP 14-BARRA,1,0,0,0,14,0,0,5
2,AISP 15-NORDESTE,1,0,8,0,21,1,0,3
2,AISP 16-PITUBA,1,1,8,0,63,0,3,16
2,AISP 01-BARRIS,4,2,4,0,148,0,5,18
2,AISP 02-LIBERDADE,2,5,3,0,164,0,7,20
2,AISP 03-BONFIM,4,4,11,1,226,1,3,15
2,AISP 04-SÃO CAETANO,2,1,29,0,45,0,0,51
2,AISP 05-PERIPERI,5,1,38,0,102,0,7,29
2,AISP 08-CIA,0,0,14,0,15,3,3,4
2,AISP 10-PAU DA LIMA,5,7,8,1,140,0,1,35
2,AISP 11-TANCREDO NEVES,9,4,47,0,145,1,4,56
2,AISP 13-CAJAZEIRAS,4,0,9,0,49,0,4,32
3,AISP 06-BROTAS,5,5,12,2,183,0,7,36
3,AISP 07-RIO VERMELHO,3,6,3,0,104,0,2,26
3,AISP 09-BOCA DO RIO,2,0,7,0,3,1,0,35
3,AISP 12-ITAPUÃ,4,2,5,0,142,1,6,78
3,AISP 14-BARRA,2,0,1,0,5,0,0,5
3,AISP 15-NORDESTE,0,0,1,0,20,0,2,3
3,AISP 16-PITUBA,0,4,7,0,46,0,0,21
3,AISP 01-BARRIS,6,1,9,1,163,0,14,15
3,AISP 02-LIBERDADE,4,0,3,0,94,1,6,28
3,AISP 03-BONFIM,9,3,11,0,189,1,7,23
3,AISP 04-SÃO CAETANO,9,2,19,0,20,2,0,47
3,AISP 05-PERIPERI,7,1,39,0,68,0,8,32
3,AISP 08-CIA,0,0,15,0,14,1,1,19
3,AISP 10-PAU DA LIMA,6,6,7,0,170,2,6,62
3,AISP 11-TANCREDO NEVES,9,3,35,1,253,2,7,68
3,AISP 13-CAJAZEIRAS,3,0,11,0,53,1,2,22
4,AISP 06-BROTAS,6,6,7,0,102,2,7,20
4,AISP 07-RIO VERMELHO,0,11,4,0,90,0,3,10
4,AISP 09-BOCA DO RIO,5,1,2,0,4,0,1,32
4,AISP 12-ITAPUÃ,5,2,2,1,115,0,12,50
4,AISP 14-BARRA,0,0,1,1,4,0,0,5
4,AISP 15-NORDESTE,0,0,1,1,13,0,0,3
4,AISP 16-PITUBA,1,0,9,0,31,0,2,16
4,AISP 01-BARRIS,1,1,14,0,108,0,11,8
4,AISP 02-LIBERDADE,13,6,6,1,84,0,4,17
4,AISP 03-BONFIM,5,0,19,0,153,5,9,27
4,AISP 04-SÃO CAETANO,7,0,22,0,11,2,2,38
4,AISP 05-PERIPERI,4,4,18,1,79,3,6,12
4,AISP 08-CIA,0,0,4,0,13,0,4,10
4,AISP 10-PAU DA LIMA,7,6,8,0,92,1,3,34
