date,aisp,crime,occurrences
DEZEMBRO/2019,1,Homicídio Doloso,2
DEZEMBRO/2019,1,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2019,1,Latrocínio,0
DEZEMBRO/2019,1,Tentativa de Homicídio,2
DEZEMBRO/2019,1,Estupro,2
DEZEMBRO/2019,1,Roubo a Ônibus,8
DEZEMBRO/2019,1,Roubo de Veículo,17
DEZEMBRO/2019,1,Furto de Veículo,2
DEZEMBRO/2019,1,Uso/Porte Entorpecente,9
DEZEMBRO/2019,2,Homicídio Doloso,5
DEZEMBRO/2019,2,Lesão Corporal Seguida de Morte,1
DEZEMBRO/2019,2,Latrocínio,0
DEZEMBRO/2019,2,Tentativa de Homicídio,1
DEZEMBRO/2019,2,Estupro,0
DEZEMBRO/2019,2,Roubo a Ônibus,4
DEZEMBRO/2019,2,Roubo de Veículo,25
DEZEMBRO/2019,2,Furto de Veículo,6
DEZEMBRO/2019,2,Uso/Porte Entorpecente,6
DEZEMBRO/2019,3,Homicídio Doloso,4
DEZEMBRO/2019,3,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2019,3,Latrocínio,0
DEZEMBRO/2019,3,Tentativa de Homicídio,4
DEZEMBRO/2019,3,Estupro,2
DEZEMBRO/2019,3,Roubo a Ônibus,15
DEZEMBRO/2019,3,Roubo de Veículo,16
DEZEMBRO/2019,3,Furto de Veículo,7
DEZEMBRO/2019,3,Uso/Porte Entorpecente,12
DEZEMBRO/2019,4,Homicídio Doloso,15
DEZEMBRO/2019,4,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2019,4,Latrocínio,0
DEZEMBRO/2019,4,Tentativa de Homicídio,0
DEZEMBRO/2019,4,Estupro,0
DEZEMBRO/2019,4,Roubo a Ônibus,23
DEZEMBRO/2019,4,Roubo de Veículo,49
DEZEMBRO/2019,4,Furto de Veículo,8
DEZEMBRO/2019,4,Uso/Porte Entorpecente,0
DEZEMBRO/2019,5,Homicídio Doloso,16
DEZEMBRO/2019,5,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2019,5,Latrocínio,0
DEZEMBRO/2019,5,Tentativa de Homicídio,3
DEZEMBRO/2019,5,Estupro,3
DEZEMBRO/2019,5,Roubo a Ônibus,30
DEZEMBRO/2019,5,Roubo de Veículo,27
DEZEMBRO/2019,5,Furto de Veículo,4
DEZEMBRO/2019,5,Uso/Porte Entorpecente,7
DEZEMBRO/2019,6,Homicídio Doloso,6
DEZEMBRO/2019,6,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2019,6,Latrocínio,0
DEZEMBRO/2019,6,Tentativa de Homicídio,0
DEZEMBRO/2019,6,Estupro,0
DEZEMBRO/2019,6,Roubo a Ônibus,11
DEZEMBRO/2019,6,Roubo de Veículo,11
DEZEMBRO/2019,6,Furto de Veículo,4
DEZEMBRO/2019,6,Uso/Porte Entorpecente,2
DEZEMBRO/2019,7,Homicídio Doloso,1
DEZEMBRO/2019,7,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2019,7,Latrocínio,0
DEZEMBRO/2019,7,Tentativa de Homicídio,0
DEZEMBRO/2019,7,Estupro,1
DEZEMBRO/2019,7,Roubo a Ônibus,4
DEZEMBRO/2019,7,Roubo de Veículo,21
DEZEMBRO/2019,7,Furto de Veículo,3
DEZEMBRO/2019,7,Uso/Porte Entorpecente,3
DEZEMBRO/2019,8,Homicídio Doloso,2
DEZEMBRO/2019,8,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2019,8,Latrocínio,0
DEZEMBRO/2019,8,Tentativa de Homicídio,0
DEZEMBRO/2019,8,Estupro,1
DEZEMBRO/2019,8,Roubo a Ônibus,6
DEZEMBRO/2019,8,Roubo de Veículo,5
DEZEMBRO/2019,8,Furto de Veículo,0
DEZEMBRO/2019,8,Uso/Porte Entorpecente,0
DEZEMBRO/2019,9,Homicídio Doloso,1
DEZEMBRO/2019,9,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2019,9,Latrocínio,0
DEZEMBRO/2019,9,Tentativa de Homicídio,0
DEZEMBRO/2019,9,Estupro,1
DEZEMBRO/2019,9,Roubo a Ônibus,4
DEZEMBRO/2019,9,Roubo de Veículo,36
DEZEMBRO/2019,9,Furto de Veículo,6
DEZEMBRO/2019,9,Uso/Porte Entorpecente,0
DEZEMBRO/2019,10,Homicídio Doloso,7
